año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
2015;144;Soto del Real;0;Soto del Real;2015-10-07
2015;145;Talamanca de Jarama;0;Talamanca de Jarama;2015-02-03
2015;145;Talamanca de Jarama;0;Talamanca de Jarama;2015-04-13
2015;146;Tielmes;0;Tielmes;2015-05-15
2015;146;Tielmes;0;Tielmes;2015-08-06
2015;147;Titulcia;0;Titulcia;2015-08-31
2015;147;Titulcia;0;Titulcia;2015-09-01
2015;148;Torrejón de Ardoz;0;Torrejón de Ardoz;2015-06-22
2015;148;Torrejón de Ardoz;0;Torrejón de Ardoz;2015-06-23
2015;149;Torrejón de la Calzada;0;Torrejón de la Calzada;2015-01-20
2015;149;Torrejón de la Calzada;0;Torrejón de la Calzada;2015-09-08
2015;150;Torrejón de Velasco;0;Torrejón de Velasco;2015-05-15
2015;150;Torrejón de Velasco;0;Torrejón de Velasco;2015-10-09
2015;151;Torrelaguna;0;Torrelaguna;2015-09-07
2015;151;Torrelaguna;0;Torrelaguna;2015-09-08
2015;152;Torrelodones;0;Torrelodones;2015-07-16
2015;152;Torrelodones;0;Torrelodones;2015-08-14
2015;153;Torremocha de Jarama;0;Torremocha de Jarama;2015-05-15
2015;153;Torremocha de Jarama;0;Torremocha de Jarama;2015-06-29
2015;154;Torres de la Alameda;0;Torres de la Alameda;2015-10-05
2015;154;Torres de la Alameda;0;Torres de la Alameda;2015-10-06
2015;903;Tres Cantos;0;Tres Cantos;2015-03-21
2015;903;Tres Cantos;0;Tres Cantos;2015-06-24
2015;155;Valdaracete;0;Valdaracete;2015-04-30
2015;155;Valdaracete;0;Valdaracete;2015-05-04
2015;156;Valdeavero;0;Valdeavero;2015-01-20
2015;156;Valdeavero;0;Valdeavero;2015-09-14
2015;157;Valdelaguna;0;Valdelaguna;2015-04-20
2015;157;Valdelaguna;0;Valdelaguna;2015-07-16
2015;158;Valdemanco;0;Valdemanco;2015-07-16
2015;158;Valdemanco;0;Valdemanco;2015-08-17
2015;159;Valdemaqueda;0;Valdemaqueda;2015-02-18
2015;159;Valdemaqueda;0;Valdemaqueda;2015-08-17
2015;160;Valdemorillo;0;Valdemorillo;2015-02-03
2015;160;Valdemorillo;0;Valdemorillo;2015-09-08
2015;161;Valdemoro;0;Valdemoro;2015-05-11
2015;161;Valdemoro;0;Valdemoro;2015-09-08
2015;162;Valdeolmos-Alalpardo;1;Alalpardo;2015-05-15
2015;162;Valdeolmos-Alalpardo;1;Alalpardo;2015-08-24
2015;162;Valdeolmos-Alalpardo;0;Valdeolmos-Alalpardo;2015-05-15
2015;162;Valdeolmos-Alalpardo;0;Valdeolmos-Alalpardo;2015-08-10
2015;163;Valdepiélagos;0;Valdepiélagos;2015-05-14
2015;163;Valdepiélagos;0;Valdepiélagos;2015-05-15
2015;164;Valdetorres de Jarama;0;Valdetorres de Jarama;2015-05-04
2015;164;Valdetorres de Jarama;0;Valdetorres de Jarama;2015-09-14
2015;165;Valdilecha;0;Valdilecha;2015-09-08
2015;165;Valdilecha;0;Valdilecha;2015-11-11
2015;166;Valverde de Alcalá;0;Valverde de Alcalá;2015-09-10
2015;166;Valverde de Alcalá;0;Valverde de Alcalá;2015-09-11
2015;167;Velilla de San Antonio;0;Velilla de San Antonio;2015-09-28
2015;167;Velilla de San Antonio;0;Velilla de San Antonio;2015-09-29
2015;169;Venturada;0;Venturada;2015-05-15
2015;169;Venturada;0;Venturada;2015-06-24
2015;171;Villa del Prado;0;Villa del Prado;2015-04-06
2015;171;Villa del Prado;0;Villa del Prado;2015-09-08
2015;170;Villaconejos;0;Villaconejos;2015-05-04
2015;170;Villaconejos;0;Villaconejos;2015-05-15
2015;172;Villalbilla;0;Villalbilla;2015-09-24
2015;172;Villalbilla;0;Villalbilla;2015-09-25
2015;173;Villamanrique de Tajo;0;Villamanrique de Tajo;2015-04-24
2015;173;Villamanrique de Tajo;0;Villamanrique de Tajo;2015-09-11
2015;174;Villamanta;0;Villamanta;2015-01-30
2015;174;Villamanta;0;Villamanta;2015-05-15
2015;175;Villamantilla;0;Villamantilla;2015-09-29
2015;175;Villamantilla;0;Villamantilla;2015-12-31
2015;176;Villanueva de la Cañada;0;Villanueva de la Cañada;2015-05-15
2015;176;Villanueva de la Cañada;0;Villanueva de la Cañada;2015-07-25
2015;178;Villanueva de Perales;0;Villanueva de Perales;2015-05-15
2015;178;Villanueva de Perales;0;Villanueva de Perales;2015-12-07
2015;177;Villanueva del Pardillo;0;Villanueva del Pardillo;2015-10-15
2015;177;Villanueva del Pardillo;0;Villanueva del Pardillo;2015-10-16
2015;179;Villar del Olmo;0;Villar del Olmo;2015-05-15
2015;179;Villar del Olmo;0;Villar del Olmo;2015-09-21
2015;180;Villarejo de Salvanés;0;Villarejo de Salvanés;2015-08-31
2015;180;Villarejo de Salvanés;0;Villarejo de Salvanés;2015-10-07
2015;181;Villaviciosa de Odón;0;Villaviciosa de Odón;2015-01-20
2015;181;Villaviciosa de Odón;0;Villaviciosa de Odón;2015-09-21
2015;182;Villavieja del Lozoya;0;Villavieja del Lozoya;2015-08-24
2015;182;Villavieja del Lozoya;0;Villavieja del Lozoya;2015-12-07
2015;183;Zarzalejo;0;Zarzalejo;2015-06-29
2015;183;Zarzalejo;0;Zarzalejo;2015-09-08
2016;002;Ajalvir;0;Ajalvir;2016-02-03
2016;002;Ajalvir;0;Ajalvir;2016-05-16
2016;003;Alameda del Valle;0;Alameda del Valle;2016-07-18
2016;003;Alameda del Valle;0;Alameda del Valle;2016-07-26
2016;005;Alcalá de Henares;0;Alcalá de Henares;2016-08-06
2016;005;Alcalá de Henares;0;Alcalá de Henares;2016-10-10
2016;006;Alcobendas;0;Alcobendas;2016-01-25
2016;006;Alcobendas;0;Alcobendas;2016-05-16
2016;007;Alcorcón;0;Alcorcón;2016-03-28
2016;007;Alcorcón;0;Alcorcón;2016-09-08
2016;008;Aldea del Fresno;0;Aldea del Fresno;2016-01-18
2016;008;Aldea del Fresno;0;Aldea del Fresno;2016-06-29
2016;009;Algete;0;Algete;2016-09-09
2016;009;Algete;0;Algete;2016-09-12
2016;010;Alpedrete;0;Alpedrete;2016-05-19
2016;010;Alpedrete;0;Alpedrete;2016-05-20
2016;011;Ambite;0;Ambite;2016-02-03
2016;011;Ambite;0;Ambite;2016-05-03
2016;012;Anchuelo;0;Anchuelo;2016-04-29
2016;012;Anchuelo;0;Anchuelo;2016-07-22
2016;013;Aranjuez;0;Aranjuez;2016-05-30
2016;013;Aranjuez;0;Aranjuez;2016-09-05
2016;014;Arganda del Rey;0;Arganda del Rey;2016-09-09
2016;014;Arganda del Rey;0;Arganda del Rey;2016-09-12
2016;015;Arroyomolinos;0;Arroyomolinos;2016-05-26
2016;015;Arroyomolinos;0;Arroyomolinos;2016-05-27
2016;017;Batres;0;Batres;2016-02-15
2016;017;Batres;0;Batres;2016-08-29
2016;018;Becerril de la Sierra;0;Becerril de la Sierra;2016-08-16
2016;018;Becerril de la Sierra;0;Becerril de la Sierra;2016-09-14
2016;019;Belmonte de Tajo;0;Belmonte de Tajo;2016-05-13
2016;019;Belmonte de Tajo;0;Belmonte de Tajo;2016-09-08
2016;020;Berzosa del Lozoya;0;Berzosa del Lozoya;2016-08-16
2016;020;Berzosa del Lozoya;0;Berzosa del Lozoya;2016-10-31
2016;022;Boadilla del Monte;0;Boadilla del Monte;2016-05-16
2016;022;Boadilla del Monte;0;Boadilla del Monte;2016-10-10
2016;024;Braojos;0;Braojos;2016-01-22
2016;024;Braojos;0;Braojos;2016-09-08
2016;025;Brea de Tajo;0;Brea de Tajo;2016-10-03
2016;025;Brea de Tajo;0;Brea de Tajo;2016-10-04
2016;026;Brunete;0;Brunete;2016-05-16
2016;026;Brunete;0;Brunete;2016-09-14
2016;027;Buitrago del Lozoya;0;Buitrago del Lozoya;2016-08-16
2016;027;Buitrago del Lozoya;0;Buitrago del Lozoya;2016-09-14
2016;028;Bustarviejo;0;Bustarviejo;2016-05-16
2016;028;Bustarviejo;0;Bustarviejo;2016-09-14
2016;029;Cabanillas de la Sierra;0;Cabanillas de la Sierra;2016-05-27
2016;029;Cabanillas de la Sierra;0;Cabanillas de la Sierra;2016-12-07
2016;031;Cadalso de los Vidrios;0;Cadalso de los Vidrios;2016-03-28
2016;031;Cadalso de los Vidrios;0;Cadalso de los Vidrios;2016-09-14
2016;032;Camarma de Esteruelas;0;Camarma de Esteruelas;2016-09-01
2016;032;Camarma de Esteruelas;0;Camarma de Esteruelas;2016-09-02
2016;033;Campo Real;0;Campo Real;2016-05-16
2016;033;Campo Real;0;Campo Real;2016-09-14
2016;034;Canencia;0;Canencia;2016-03-28
2016;034;Canencia;0;Canencia;2016-10-10
2016;035;Carabaña;0;Carabaña;2016-09-14
2016;035;Carabaña;0;Carabaña;2016-12-13
2016;036;Casarrubuelos;0;Casarrubuelos;2016-05-03
2016;036;Casarrubuelos;0;Casarrubuelos;2016-07-26
2016;037;Cenicientos;0;Cenicientos;2016-05-16
2016;037;Cenicientos;0;Cenicientos;2016-08-16
2016;038;Cercedilla;0;Cercedilla;2016-01-20
2016;038;Cercedilla;0;Cercedilla;2016-09-08
2016;039;Cervera de Buitrago;0;Cervera de Buitrago;2016-08-01
2016;039;Cervera de Buitrago;0;Cervera de Buitrago;2016-12-19
2016;051;Chapinería;0;Chapinería;2016-03-07
2016;051;Chapinería;0;Chapinería;2016-10-03
2016;052;Chinchón;0;Chinchón;2016-08-16
2016;052;Chinchón;0;Chinchón;2016-08-17
2016;040;Ciempozuelos;0;Ciempozuelos;2016-09-12
2016;040;Ciempozuelos;0;Ciempozuelos;2016-09-13
2016;041;Cobeña;0;Cobeña;2016-05-09
2016;041;Cobeña;0;Cobeña;2016-10-03
2016;046;Collado Mediano;0;Collado Mediano;2016-01-22
2016;046;Collado Mediano;0;Collado Mediano;2016-01-25
2016;047;Collado Villalba;0;Collado Villalba;2016-06-13
2016;047;Collado Villalba;0;Collado Villalba;2016-07-22
2016;043;Colmenar de Oreja;0;Colmenar de Oreja;2016-05-06
2016;043;Colmenar de Oreja;0;Colmenar de Oreja;2016-09-09
2016;042;Colmenar del Arroyo;0;Colmenar del Arroyo;2016-01-22
2016;042;Colmenar del Arroyo;0;Colmenar del Arroyo;2016-09-09
2016;045;Colmenar Viejo;0;Colmenar Viejo;2016-08-29
2016;045;Colmenar Viejo;0;Colmenar Viejo;2016-08-30
2016;044;Colmenarejo;0;Colmenarejo;2016-07-22
2016;044;Colmenarejo;0;Colmenarejo;2016-11-09
2016;048;Corpa;0;Corpa;2016-05-15
2016;048;Corpa;0;Corpa;2016-09-14
2016;049;Coslada;0;Coslada;2016-05-16
2016;049;Coslada;0;Coslada;2016-06-13
2016;050;Cubas de la Sagra;0;Cubas de la Sagra;2016-02-03
2016;050;Cubas de la Sagra;0;Cubas de la Sagra;2016-09-12
2016;053;Daganzo de Arriba;0;Daganzo de Arriba;2016-06-10
2016;053;Daganzo de Arriba;0;Daganzo de Arriba;2016-09-05
2016;004;El Álamo;0;El Álamo;2016-05-16
2016;004;El Álamo;0;El Álamo;2016-09-02
2016;016;El Atazar;0;El Atazar;2016-05-03
2016;016;El Atazar;0;El Atazar;2016-11-25
2016;021;El Berrueco;0;El Berrueco;2016-05-09
2016;021;El Berrueco;0;El Berrueco;2016-05-10
2016;023;El Boalo;2;Cerceda;2016-05-03
2016;023;El Boalo;2;Cerceda;2016-09-14
2016;023;El Boalo;0;El Boalo;2016-01-20
2016;023;El Boalo;0;El Boalo;2016-05-16
2016;023;El Boalo;3;Mataelpino;2016-02-05
2016;023;El Boalo;3;Mataelpino;2016-08-24
2016;054;El Escorial;0;El Escorial;2016-06-11
2016;054;El Escorial;0;El Escorial;2016-09-05
2016;086;El Molar;0;El Molar;2016-05-05
2016;086;El Molar;0;El Molar;2016-05-06
2016;168;El Vellón;1;El Espartal;2016-03-18
2016;168;El Vellón;1;El Espartal;2016-10-14
2016;168;El Vellón;0;El Vellón;2016-10-07
2016;168;El Vellón;0;El Vellón;2016-10-10
2016;055;Estremera;0;Estremera;2016-10-10
2016;055;Estremera;0;Estremera;2016-10-11
2016;056;Fresnedillas de la Oliva;0;Fresnedillas de la Oliva;2016-01-20
2016;056;Fresnedillas de la Oliva;0;Fresnedillas de la Oliva;2016-08-24
2016;057;Fresno de Torote;0;Fresno de Torote;2016-05-03
2016;057;Fresno de Torote;0;Fresno de Torote;2016-08-12
2016;058;Fuenlabrada;0;Fuenlabrada;2016-03-09
2016;058;Fuenlabrada;0;Fuenlabrada;2016-09-14
2016;059;Fuente el Saz de Jarama;0;Fuente el Saz de Jarama;2016-09-07
2016;059;Fuente el Saz de Jarama;0;Fuente el Saz de Jarama;2016-09-08
2016;060;Fuentidueña de Tajo;0;Fuentidueña de Tajo;2016-09-12
2016;060;Fuentidueña de Tajo;0;Fuentidueña de Tajo;2016-09-13
